Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
6-Jul-23,EQ,804.45,804.55,789,791.9,794.95,795.55,794.34,808.3,541,"3,316,923","2,634,758,191.90","64,143"
5-Jul-23,EQ,796.7,803.6,788.1,796.65,793.5,791.9,794.19,808.3,541,"2,526,894","2,006,845,154.00","54,785"
4-Jul-23,EQ,798,802.75,789.3,794,798,796.65,796.26,808.3,541,"2,473,106","1,969,233,053.30","51,920"
3-Jul-23,EQ,788,808.3,787.05,784.8,794.95,794,798.68,808.3,541,"4,781,944","3,819,228,876.60","98,952"
30-Jun-23,EQ,786.3,789,780,783.4,783.15,784.8,784.46,791.45,541,"2,515,440","1,973,267,400.30","49,182"
28-Jun-23,EQ,768,791.45,762,762.5,786.3,783.4,782.17,791.45,541,"8,340,755","6,523,873,069.95","109,569"
27-Jun-23,EQ,750,765,749.05,748.8,762.25,762.5,756.74,786.5,541,"2,783,577","2,106,434,451.45","48,249"
26-Jun-23,EQ,749.9,751.35,737.15,746.5,749.5,748.8,743.72,786.5,541,"1,602,537","1,191,838,462.55","32,061"
23-Jun-23,EQ,750,758.7,743.85,752.35,745,746.5,749.41,786.5,536.1,"1,704,679","1,277,508,026.20","36,432"
22-Jun-23,EQ,754.2,763.75,745.95,758.75,752.6,752.35,754.55,786.5,536.1,"1,972,478","1,488,336,465.05","37,873"
21-Jun-23,EQ,773.15,774,752.05,773.15,758.55,758.75,758.18,786.5,536.1,"2,768,203","2,098,789,258.50","56,806"
20-Jun-23,EQ,772.2,786.5,768.55,771.65,773,773.15,776.99,786.5,536.1,"2,282,549","1,773,508,421.70","57,577"
19-Jun-23,EQ,780.5,782,767.85,776.1,772.4,771.65,773.93,783.5,536.1,"1,422,461","1,100,889,828.95","33,585"
16-Jun-23,EQ,776.95,781.8,772.7,770.6,775.65,776.1,776.04,783.5,536.1,"2,285,788","1,773,854,615.15","43,626"
15-Jun-23,EQ,778,778,768.5,772.85,771,770.6,772.3,783.5,536.1,"2,222,061","1,716,094,853.95","47,625"
14-Jun-23,EQ,761.55,779,759.15,756.65,774.45,772.85,772.58,783.5,536.1,"4,758,206","3,676,116,917.95","87,902"
13-Jun-23,EQ,755,762.6,751.15,747.3,756.65,756.65,757.41,783.5,536.1,"3,419,413","2,589,881,575.40","50,159"
12-Jun-23,EQ,754.6,757.95,744.65,748.5,747.45,747.3,750.11,783.5,536.1,"1,703,619","1,277,905,497.45","29,124"
9-Jun-23,EQ,751.5,756.95,741.5,748.8,750,748.5,749.52,783.5,536.1,"2,408,734","1,805,396,786.60","44,506"
8-Jun-23,EQ,729.75,764.45,727.85,729.75,750.3,748.8,751.84,783.5,536.1,"9,618,332","7,231,466,953.15","122,549"
7-Jun-23,EQ,715.25,732.2,714,712.85,731.5,729.75,721.07,783.5,536.1,"3,667,486","2,644,514,098.00","51,416"
6-Jun-23,EQ,714,717.5,708.8,712.15,712.3,712.85,712.41,783.5,536.1,"2,436,996","1,736,135,558.70","32,273"
